GEOGRAFITYPEAHEAD,GEOGRAFILISTE
Gol,NO06.0617
Hem,NO06.0618
%C3%85l,NO06.0619
Hol,NO06.0620
Sig,NO06.0621
Kr%C3%B8,NO06.0622
Mod,NO06.0623
%C3%98vr,NO06.0624
Ned,NO06.0625
Lie,NO06.0626
R%C3%B8y,NO06.0627
Hur,NO06.0628
Fle,NO06.0631
Rol,NO06.0632
Nor,NO06.0633
Hor,NO07.0701
T%C3%B8n,NO07.0704
Sve,NO07.0711
San,NO07.0713
Re,NO07.0716
Por,NO08.0805
Ski,NO08.0806
Not,NO08.0807
Sil,NO08.0811
Bam,NO08.0814
Kra,NO08.0815
Dra,NO08.0817
Nom,NO08.0819
B%C3%B8,NO08.0821
Sau,NO08.0822
Tin,NO08.0826
Hja,NO08.0827
Sel,NO08.0828
Kvi,NO08.0829
Nis,NO08.0830
Fyr,NO08.0831
Tok,NO08.0833
Vin,NO08.0834
Ris,NO09.0901
Gri,NO09.0904
Are,NO09.0906
Gje,NO09.0911
Veg,NO09.0912
Tve,NO09.0914
Fro,NO09.0919
Lil,NO09.0926
Bir,NO09.0928
%C3%85ml,NO09.0929
Ive,NO09.0935
Evj,NO09.0937
Byg,NO09.0938
Val,NO09.0940
Byk,NO09.0941
Kri,NO10.1001
Man,NO10.1002
Far,NO10.1003
Fle,NO10.1004
Ven,NO10.1014
Hal,NO01.0101
%C3%98st,NO01
Ake,NO02
Osl,NO03
Hed,NO04
Opp,NO05
Bus,NO06
Ves,NO07
Tel,NO08
Aus,NO09
Ves,NO10
Rog,NO11
Hor,NO12
Sog,NO14
M%C3%B8r,NO15
Nor,NO18
Tro,NO19
Fin,NO20
Bod,NO18.1804
Nar,NO18.1805
Bin,NO18.1811
S%C3%B8m,NO18.1812
Br%C3%B8,NO18.1813
Veg,NO18.1815
Vev,NO18.1816
Her,NO18.1818
Als,NO18.1820
Lei,NO18.1822
Vef,NO18.1824
Gra,NO18.1825
Hat,NO18.1826
D%C3%B8n,NO18.1827
Nes,NO18.1828
