KOMPETANSETYPEAHEAD,KOMPETANSE
Kab,Kabelinstallasjoner
Kab,Kabelkran
Kab,Kabelmontering
Kab,Kabre
Kab,Kabylisk
Kai,Kaiarbeid
Kam,Kamba%2FKikamba
Kam,Kameraarbeid
Kam,Kamerakontroll
Kam,Kampa
Kan,Kanaresisk%2FKannada
Kan,Kantonesisk%2FYue
Kan,Kanuri
Kar,Karen
Kar,Kart+og+oppm%C3%A5ling
Kar,Kart+og+oppm%C3%A5ling+(AMO)
Kar,Kart+og+oppm%C3%A5lingsarbeid+generelt
Kar,Kartverksarbeid
Kas,Kaschmirsk
Kas,Kassearbeid
Kat,Katalansk
Kav,Kavango
Kaz,Kazakisk
Ker,Keramikk+-Formst%C3%B8ping
Ker,Keramikk+-Frih%C3%A5ndsdreiing
Ker,Keramikk+-Trykkst%C3%B8ping
Ker,Keramikk-+og+porselensproduksjon
Ker,Keramikkproduksjon+-+generelt
Khm,Khmer%2FKambodsjansk
Kin,Kinesiologi
Kin,Kinesisk
Kin,Kinyarwanda
Kir,Kirgisisk
Kir,Kirkelig+forvaltning
Kir,Kirundi%2FIkirundi
Kje,Kjemi
Kje,Kjemi-+og+prosessfag+(AMO)
Kje,Kjemi-+og+prosessfag+andre+(AMO)
Kje,Kjemikaliebehandling
Kje,Kjemikalieindustri
Kje,Kjemisk+teknisk+arbeid
Kje,Kjemiske+prosessfag+(AMO)
Kj%C3%B8,Kj%C3%B8kkenrenhold
Kj%C3%B8,Kj%C3%B8leisolering
Kj%C3%B8,Kj%C3%B8ret%C3%B8y+(AMO)
Kj%C3%B8,Kj%C3%B8ttfag+(AMO)
Kj%C3%B8,Kj%C3%B8ttproduksjon
Kj%C3%B8,Kj%C3%B8ttproduksjon+mm
Kj%C3%B8,Kj%C3%B8ttskj%C3%86ring
Kla,Klassisk+musikk
Klo,Klokkertjeneste
Kob,Kobber-+og+blikkenslagerfag+(AMO)
Kok,Kokekyndig
Kok,Kokkfag+(AMO)
Kom,Kommunehelsetjenesten
Kon,Konditori
Kon,Konditoriarbeid
Kon,Konfirmasjonsarbeid
Kon,Kongo%2FKikongo
Kon,Konkani%2FGoanesisk
Kon,Konservering
Kon,Konserveringsarbeid
Kon,Konserveringsmetoder
Kon,Konsulentarbeid
Kon,Kontor-+og+sekret%C3%86rarbeid
Kon,Kontor-+og+sekret%C3%86rarbeid+generelt
Koo,Koordineringsarbeid
Kor,Kor
Kor,Koreansk
Kor,Koreografi
Kor,Kornprodukter
Kor,Korps
Kor,Korsikansk
Kra,Kraftstasjoner
Kra,Krankj%C3%B8ring
Kre,Kreativ+dans
Kre,Kreol
Kre,Kreolsk
Kre,Kretskortmontering
Kri,Kriminaljournalistikk
Kri,Kriminalomsorg
Kri,Kriminologi
Kri,Krio
Kro,Kroatisk
Kro,Kroppspleie
Kru,Kru
Kul,Kuldemont%C3%B8r+(AMO)
Kul,Kultur+og+fritid+(bransje)
Kul,Kulturjournalistikk
Kun,Kundebehandling
Kun,Kunstmuseum
Kur,Kuratorarbeid
Kur,Kurdmanji%2FKurdisk
Kur,Kurs+og+konferansesenter
Kur,Kurs+p%C3%A5+h%C3%B8yskole%2Funiversitetsniv%C3%A5+(AMO)
Kur,Kursarrang%C3%B8r
Kur,Kurvmakerfag+(AMO)
Kuy,Kuyu%2FKikuyu%2FGikuyu
Kym,Kymrisk
Lab,Laboratoriearbeid
Lab,Laboratoriefag+(AMO)
Laf,Lafting
Lag,Lager+og+terminalarbeid
Lag,Lager-%2Fterminalarbeid
Lag,Lagerarbeid
Lak,Lakseslakting
Lan,Landbruk+og+naturforvaltning+(AMO)
Lan,Landtransport
Lan,Landtransport+generelt
Lao,Laotisk
Lat,Latin
Lat,Latvisk
Lav,Lavspenningsanlegg
Led,Ledelse
Led,Ledelse+(offentlig+virksomhet)
Led,Ledelse+(privat+virksomhet)
Lek,Lektor+(yrkestittel;+hovedfag+++praktisk-pedagogisk+utdanning)
Lim,Limba
Lin,Lineboremaskin
Lin,Lineegner
Lin,Linefiske
Lin,Lingala
Lin,Lingvistikk
Lin,Linjeblokkanlegg
Lit,Litauisk
Lit,Litteratur
Loz,Lozi
Lub,Luba%2FKiluba
Luf,Luftfart
Luf,Luftfart+generelt
Luf,Luftforsvaret
Luf,Luftledningsanlegg
Lug,Luganda%2FGanda
Luh,Luhya%2FLuyia%2FLuluhya
Lun,Lunda
Luo,Luo
Lut,Lutoro
Luv,Luvale
Lux,Luxemburgisk
Lyd,Lydteknikk
Lys,Lysanlegg
Lys,Lysisolering
Lys,Lyssetting
L%C3%A5n,L%C3%A5nevurdering
L%C3%86r,L%C3%86rfarging
L%C3%86r,L%C3%86rs%C3%B8m
L%C3%B8f,L%C3%B8fteanordning
L%C3%B8n,L%C3%B8nnet+husarbeid+(bransje)
L%C3%B8n,L%C3%B8nnsarbeid
MAG,MAG-sveising
MIG,MIG-sveising
Mad,Maduresisk
Mag,Magedans
Mag,Magistergrad+(mag.+art.)
Mak,Make+Up
Mak,Makedonsk
Mak,Makua-Lomwe%2FImakua
Mal,Malagassisk
Mal,Malayalam
Mal,Malayisk
Mal,Maler+og+byggtapetserer+(AMO)
Mal,Maling+og+overflatebehandling
Mal,Maling+og+overflatebehandling+mm
Mal,Malingsarbeid
Mal,Malinke
Mal,Maltesisk
Man,Mandarin
Man,Mande%2FMandi
Man,Mandinka%2FManinka
Man,Mandsjurisk
Man,Manufaktur
Man,Manx
Mao,Maori
Mar,Marathi
Mar,Marinbiologi
Mar,Marinteknikk
Mar,Marisk
Mar,Maritime+elektriske+anlegg
Mar,Markedsf%C3%B8ring
Mar,Marwarisk
Mas,Masai
Mas,Maskin-+og+kranf%C3%B8rerarbeid
Mas,Maskinfag++(AMO)
Mas,Maskinkj%C3%B8ring
Mas,Maskinsnekring
Mas,Maskins%C3%B8m
Mas,Maskinteknikk
Mas,Mass%C3%B8r-+og+parykkmakerfaget+(AMO)
Mas,Master
Mas,Mastergrad
Mat,Matematikk
Mat,Matematikk+generelt
Mat,Matlaging
