UTDANNINGTYPEAHEAD,UTDANNING
All,Allmenne+%C3%B8konomiske+og+administrative+fag+grunnkurs
Ser,Servit%C3%B8rutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Int,Interi%C3%B8r+Vg3
Vok,Voksenoppl%C3%A6ring+grunnskole
Gen,Generelle+programmer+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
%C3%98ko,%C3%98konomiske+og+administrative+fag+VK+I
Gym,Gymnasutdanning
Vid,Videreutdanning+i+sykepleie+administrasjon
Fol,Folkeh%C3%B8gskoleutdanning+ett%C3%A5rig
Teg,Tegning+form+og+farge+VK+I
Teg,Tegne-+grafikk-+maler-+og+skulpt%C3%B8rutdanning+uspesifisert+lavere+niv%C3%A5
For,Forberedende+pr%C3%B8ver
Eng,Engelsk+lavere+niv%C3%A5
Bac,Bachelor+visuell+kommunikasjon+tre%C3%A5rig
Pra,Praktisk-pedagogisk+utdanning+for+yrkesfagl%C3%A6rere
Fag,Fagskoleutdanning+sekret%C3%A6rutdanning
Gru,Grunnskole+p%C3%A5+ungdomstrinnet
Ung,Ungdomsskoleutdanning
Sko,Skogbruk+praksiskurs
Alt,Alternativ+oppl%C3%A6ring+videreg%C3%A5ende+niv%C3%A5
Han,Handels-+og+kontorfag+to%C3%A5rig+grunnkurs
Kon,Kontorfag+VK+I
%C3%98ko,%C3%98konomiske+og+administrative+fag+VK+II
R%C3%B8r,R%C3%B8rleggerutdanning+videreg%C3%A5ende+grunnutdanning
Ele,Elektrofag+to%C3%A5rig+grunnkurs
Dat,Data+og+elektronikk+Vg2
His,Historie+lavere+niv%C3%A5
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Can,Cand.ed.-utdanning+spesialpedagogikk+profesjonsstudiets+1.+avd.
Amb,Ambulansefag+Vg2
Hel,Helse-+og+sosialfag+grunnkurs
Mus,Musikk+dans+og+drama+grunnkurs
For,Forberedende+pr%C3%B8ver+historisk-filosofiske+fag
Mar,Markedsf%C3%B8ring+lavere+niv%C3%A5
Ele,Elektrofag+grunnkurs
Ele,Elenergi+Vg2
Ele,Elektrikerfaget+Vg3
Bed,Bedrifts%C3%B8konomi+(lavere+niv%C3%A5)
T%C3%B8m,T%C3%B8mrerfag+videreg%C3%A5ende+grunnutdanning
Byg,Bygg+og+anlegg+uspesifisert+videreg%C3%A5ende+grunnutdanning
Pro,Produksjon+av+tre+papir+plast+og+glass+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Sty,Styrmannsutdanning
Oms,Omsorgsfag+VK+I
Hum,Humaniora+og+estetikk+l%C3%A6rerutdanning+uspesifisert+lavere+niv%C3%A5
Akt,Aktivit%C3%B8rfaget+Vg3
All,Allmennfaglig+linje+ved+utenlandsk+videreg%C3%A5ende+skole
Ele,Elektro+uspesifisert+videreg%C3%A5ende+grunnutdanning
Ser,Serviceelektronikerfaget+data-+og+kontorsystemer+VK+II
Tek,Tekstil-+og+skinnproduksjon+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Med,Medie-+og+informasjonsfag+andre+uspesifiserte+lavere+niv%C3%A5
T%C3%B8m,T%C3%B8mrer+VK+I
Gru,Grunnskole+p%C3%A5+barneskoleniv%C3%A5
Kje,Kjemiske+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Anl,Anleggsmaskinf%C3%B8rerfaget+Vg3
VK+,VK+I+Yrkessj%C3%A5f%C3%B8r+halv%C3%A5rig
Bil,Bilmekanikere+videreg%C3%A5ende+grunnutdanning
Mek,Mekaniske+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+psykologi+tre%C3%A5rig
Mas,Master+psykologi+to%C3%A5rig
Mil,Milit%C3%A6re+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
%C3%98ko,%C3%98konomisk-administrative+fag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mek,Mekaniske+fag+uspesifiserte+lavere+niv%C3%A5
Fot,Fotterapeut+VK+I
Sal,Salg+og+service+grunnkurs
Siv,Sivil%C3%B8konomutdanning+CEMS-master
Byg,Byggfag+grunnkurs
Mil,Milit%C3%A6re+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Ind,Industrimekanikerfaget+Vg3
Kon,Kontorfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Fol,Folkeskoleutdanning
Tre,Trearbeidsfag+grunnkurs
Mek,Mekaniske+fag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Can,Cand.odont.-utdanning
For,Forkurs+til+utdanning+ved+universiteter+og+h%C3%B8gskoler
Fri,Fris%C3%B8rutdanning+videreg%C3%A5ende+grunnutdanning
Mas,Master+of+Science+economics+and+business+administration+to%C3%A5rig
Pra,Praktisk-pedagogisk+utdanning+uspesifisert+lavere+niv%C3%A5
Mek,Mekaniske+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Ban,Bankakademiet+grunnutdanning
Han,Handelsgymnasutdanning
%C3%98ko,%C3%98konomiske+og+administrative+fag+andre+uspesifiserte+lavere+niv%C3%A5
Bac,Bachelor+ingeni%C3%B8rfag+elektro+tre%C3%A5rig
Syk,Sykepleieh%C3%B8gskole+tre%C3%A5rig+grunnutdanning
Teg,Tegning+videreg%C3%A5ende+grunnutdanning
Leg,Legesekret%C3%A6rutdanning+videreg%C3%A5ende+grunnutdanning
All,Allmenne+fag+VK+II
H%C3%B8g,H%C3%B8gskolekandidat+reiseliv+tre%C3%A5rig
Mas,Master+of+Business+Administration+(MBA)+1+5-%C3%A5rig
Utd,Utdanning+i+kokkfaget+videreg%C3%A5ende+grunnutdanning
Ele,Elektro+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bak,Baker-+og+konditorfag+VK+I
Mas,Maskin-+og+mekanikerfag+to%C3%A5rig+grunnkurs
Fil,Filosofi+lavere+niv%C3%A5
Siv,Sivilingeni%C3%B8rutdanning+datateknikk
Off,Offentlig+rett+lavere+niv%C3%A5
Mas,Master+konflikt+sikkerhet+og+flerkulturell+forst%C3%A5else+1+5-%C3%A5rig
Sos,Sosialantropologiske+fag+andre+uspesifiserte+forskerutdanning
Var,Varehandel+p%C3%A5bygging
Med,Medie-+og+informasjonsfag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
All,Allmenne+fag+VK+I
L%C3%A6r,L%C3%A6rere+videreutdanning+uspesifisert+(mer+enn+4+%C3%A5r)
Hje,Hjelpepleier+VK+I
Hje,Hjelpepleier+VK+II
Hus,Husstell+videreg%C3%A5ende+grunnutdanning
Int,International+Baccalaureate+Vg2+og+Vg3
Mas,Master+teknologi+ingeni%C3%B8rvitenskap+og+IKT+fem%C3%A5rig
For,Formgivingsfag+grunnkurs
Tek,Tekstil-+og+skinnproduksjon+uspesifisert+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+bygg+tre%C3%A5rig
Mas,Master+teknologi+bygningsteknologi+to%C3%A5rig
Rea,Realskoleutdanning
Gru,Grunnutdanning+ved+konservatoriene+tre%C3%A5rig
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+l%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Sos,Sosialpedagogikk+lavere+niv%C3%A5
Adm,Administrasjons-+og+organisasjonsvitenskap+lavere+niv%C3%A5
%C3%98ko,%C3%98konomisk-administrative+fag+uspesifiserte+lavere+niv%C3%A5
Urm,Urmakerfaget+Vg3
Rei,Reiselivsfag+uspesifiserte+lavere+niv%C3%A5
Pla,Plate-+sveise-+og+st%C3%A5lkonstruksjonsfag+videreg%C3%A5ende+grunnutdanning
Mar,Maritime+maskinistfag++p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Oms,Omsorgsarbeiderfaget+VK+II
Jur,Juridiske+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Bac,Bachelor+demokrati+og+rettigheter+i+informasjonssamfunnet+tre%C3%A5rig
Bac,Bachelor+forretningsjus+tre%C3%A5rig
Fra,Framhaldskoleutdanning
Hje,Hjelpepleierutdanning
%C3%98ko,%C3%98konomisk-administrative+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Tek,Teknisk+fagskole+linje+for+husbyggingsteknikk
Tek,Teknisk+fagskole+anleggs-+og+husbyggingslinjen
Apo,Apotekteknikk+Vg3
Apo,Apotekteknikerutdanning+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+helseadministrasjon+og+pasientrettede+IKT-systemer+ett%C3%A5rig
Teg,Tegning+form+og+farge+VK+II
Nat,Naturbruk+grunnkurs
P%C3%A5b,P%C3%A5bygging+til+generell+studiekompetanse+(alle+yrkesfaglige+utdanningsprogram)+Vg3
Stu,Studiespesialisering+studiekompetansegivende+enkeltfag%2Fdelkurs+Vg3
Ren,Renholdsoperat%C3%B8rfaget+Vg3
Sos,Sosionomutdanning+tre%C3%A5rig
Sj%C3%A5,Sj%C3%A5f%C3%B8rutdanning+videreg%C3%A5ende+grunnutdanning
Hov,Hovedfagskandidat+%C3%B8konomiske+og+administrative+omr%C3%A5der
Akv,Akvakultur+Vg2
Ele,Elektro+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Spr,Spr%C3%A5k+logikk+og+informasjonsteknologi+lavere+niv%C3%A5
Can,Cand.mag-utdanning+historisk-filosofiske+fag
Can,Cand.polit+-utdanning+administrasjons-+og+organisasjonsvitenskap
Hot,Hotell-+og+restaurantfag+uspesifiserte+lavere+niv%C3%A5
Psy,Psykologi+lavere+niv%C3%A5
Fag,Fagskoleutdanning+psykisk+helsearbeid+1+5-%C3%A5rig
Ele,Elektromotor-+og+transformatorreparat%C3%B8rfaget+VK+II
Ele,Elektrofag+Vg1
Dat,Dataelektronikerfaget+Vg3
Tek,Teknisk+fagskole+linje+for+elektronikk
Hot,Hotell-+og+restaurantfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Hel,Helsearbeiderfaget+Vg3
Uni,Universitets-+og+h%C3%B8gskoleutdanning+lavere+niv%C3%A5+uspesifisert+fagfelt
Bet,Betongfag+VK+I
Jor,Jordbruk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Mil,Milit%C3%A6re+fag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Lan,Landbruk+og+naturforvaltning+VK+I
Bac,Bachelor+pedagogikk+tre%C3%A5rig
Bar,Barnevernsutdanning+lavere+niv%C3%A5
F%C3%B8r,F%C3%B8rskolel%C3%A6rerutdanning+tre%C3%A5rig
Spe,Spesialpedagogikk+1.+avd.
Spe,Spesialpedagogikk+2.+avd.
Vid,Videreutdanning+for+allmenn-%2Fgrunnskolel%C3%A6rere+og+f%C3%B8rskole-%2Fbarnehagel%C3%A6rere+uspesifisert
Sta,Statsvitenskapelige+fag
Can,Cand.scient.-utdanning+informatikk
Mas,Master+of+Technology+Management+to%C3%A5rig
Mas,Master+entrepren%C3%B8rskap+og+innovasjon+to%C3%A5rig
All,Allmenne+fag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Dam,Damefris%C3%B8rfaget+VK+II
Bar,Barsel-+og+barnepleier+videreg%C3%A5ende+grunnutdanning
Mar,Maritime+maskinistfag+videreg%C3%A5ende+avsluttende+utdanning
Hel,Helseservicefag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Han,Handels%C3%B8konom+fire%C3%A5rig
Mek,Mekaniske+fag+grunnkurs
Sne,Snekkere+to%C3%A5rig+grunnkurs
Bed,Bedrifts%C3%B8konomi+videreg%C3%A5ende+avsluttende+utdanning
Pla,Plate-+sveise-+og+st%C3%A5lkonstruksjonsfag+videreg%C3%A5ende+avsluttende+utdanning
BI-,BI-spesialkurs
Tek,Teknisk+fagskole+prosessteknikk
Agr,Agronomkurs+ett%C3%A5rig
Tek,Teknisk+fagskole+linje+for+anleggsteknikk
Inn,Innf%C3%B8ringskurs+fremmedspr%C3%A5klige+elever
Rek,Reklametegning+videreg%C3%A5ende+grunnutdanning
Int,Interi%C3%B8r-+og+dekorat%C3%B8rutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
San,Sang-+og+musikkutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Sek,Sekret%C3%A6rutdanning+ett%C3%A5rig
Hel,Helseservicefag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Sve,Sveisefaget+Vg3
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+maskin+tre%C3%A5rig
Ing,Ingeni%C3%B8rutdanning+to%C3%A5rig+uoppgitt+faggruppe
Han,Handel+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Pla,Plate-+og+sveisefag+VK+I
Can,Cand.jur.+-utdanning+profesjonsstudiet
Han,Handel+uspesifisert+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+hotelladministrasjon+to%C3%A5rig
Tra,Transportfag+ett%C3%A5rig+videreutdanning
H%C3%B8g,H%C3%B8gskolekandidat+bedrifts%C3%B8konomi+to%C3%A5rig
Rev,Revisoreksamen+h%C3%B8yere+ett%C3%A5rig
