TYPEAHEAD,YRKE
Hje,Hjelpearbeider (privat/offentlig virksomhet)
Med,Medarbeider (uoppgitt arbeidsområde)
Uid,Uidentifiserbart yrke
Bef,Befal I
Kap,Kaptein (forsvaret)
Fen,Fenrik
Kap,Kapteinløytnant
Rit,Rittmester
Adj,Adjutant
Adm,Admiral
Bri,Brigader
For,Forsvarssjef
Gen,General
Gen,Generalinspektør for heimevernet
Gen,Generalinspektør for hæren
Gen,Generalinspektør for luftforsvaret
Gen,Generalinspektør for sjøforsvaret
Gen,Generalløytnant
Gen,Generalmajor
Kom,Kommandør
Kom,Kommandørkaptein
Kon,Kontreadmiral
Maj,Major
Obe,Oberst
Obe,Oberstløytnant
Orl,Orlogskaptein
Ove,Overadjutant
Vis,Viseadmiral
Ser,Sersjant
Kva,Kvartermester
Men,Menig
Gre,Grenader
Kor,Korporal
Ver,Vervet
Pol,Politiker
Byr,Byråd
Bys,Bystyrerepresentant
Fol,Folkevalgt
Fyl,Fylkesordfører
Fyl,Fylkesstyrerepresentant
Kom,Kommunalråd
Kom,Kommunestyrerepresentant
Ord,Ordfører
Par,Parlamentarisk leder
Par,Parlamentarisk nestleder
Pol,Politisk rådgiver
Pol,Politisk sekretær
Sam,Sametingspresident
Sam,Sametingsrepresentant
Sek,Sekretariatsleder (partipolitiske organisasjoner)
Sta,Statsminister
Sta,Statsråd
Sta,Statssekretær
Sto,Stortingspresident
Sto,Stortingsrepresentant
Var,Varaordfører
Byr,Byrådssekretær (offentlig administrasjon)
Dep,Departementsråd
Fyl,Fylkesmann
Fyl,Fylkesrådmann
Omb,Ombud
Råd,Rådmann
Sys,Sysselmann
Top,Toppleder i offentlig administrasjon
Ute,Utenrikstjenestemann
Amb,Ambassaderåd
Amb,Ambassadør
Ass,Assisterende fylkesmann
Ass,Assisterende fylkesrådmann
Ass,Assisterende rådmann
Ass,Assisterende sysselmann
Att,Attaché
Bar,Barneombud
Bis,Bistandsattaché
Byo,Byombud
Cha,Charge d`affaires
Eld,Eldreombud
Fin,Finansråd
Fin,Finansrådmann
Fis,Fiskeriattaché
Fly,Flyattaché
For,Forbrukerombud
For,Forsvarsattaché
For,Forsvarsråd
Gen,Generalkonsul
Han,Handelsattaché
